code,name,source_uuid
1,ABIDJAN 1,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL2
2,ABIDJAN 2,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL3
3,AGNEBY-TIASSA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL4
4,BAFING,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL5
5,BAGOUE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL6
6,BELIER,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL7
7,BERE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL8
8,BOUNKANI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL9
9,CAVALLY,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL10
10,FOLON,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL11
11,GBEKE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL12
12,GBOKLE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL13
13,GÔH,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL14
14,GONTOUGO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL15
15,GRANDS PONTS,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL16
16,GUEMON,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL17
17,HAMBOL,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL18
18,HAUT SASSANDRA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL19
19,IFFOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL20
20,INDENIE-DUABLIN,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL21
21,KABADOUGOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL22
22,LÔH-DJIBOUA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL24
23,MARAHOUE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL25
24,ME,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL23
25,MORONOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL26
26,NAWA,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL27
27,N'ZI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL28
28,PORO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL29
29,SAN PEDRO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL30
30,SUD-COMOE,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL31
31,TCHOLOGO,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL32
32,TONKPI,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL33
33,WORODOUGOU,LLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL34
